"word","results","seed","hansardcount","valence","manualflag"
"vilification",0.68699907756539,0,118,"Anger",0
"leir",0.686524388668775,0,3,"Anger",1
"elbowing",0.686511967405364,0,7,"Anger",0
"tridents",0.686271814426545,0,8,"Anger",0
"bushido",0.686216242432411,0,2,"Anger",1
"disloyal",0.68616555310175,0,105,"Anger",0
"couching",0.686088553139059,0,5,"Anger",0
"childishly",0.685812486980811,0,6,"Anger",0
"brags",0.685573920829726,0,18,"Anger",0
"coerced",0.685566475989256,0,219,"Anger",0
"tacitly",0.685559320099705,0,98,"Anger",0
"bramble",0.685504859607814,0,16,"Anger",0
"jousted",0.685464903093707,0,20,"Anger",0
"dyan",0.685429397349093,0,2,"Anger",1
"flings",0.685143766500168,0,2,"Anger",0
"connived",0.685115466845716,0,111,"Anger",0
"cagoule",0.684967724210088,0,1,"Anger",1
"incitement",0.684799032808263,0,1326,"Anger",0
"aforethought",0.684777407099542,0,20,"Anger",0
"prefacing",0.684272121214915,0,7,"Anger",0
"underhand",0.684085704875533,0,286,"Anger",0
"skeffington",0.683967753136245,0,6,"Anger",1
"confessing",0.683802983645745,0,50,"Anger",0
"snorts",0.683605421306879,0,4,"Anger",0
"impertinence",0.683595471558169,0,91,"Anger",0
"liquorice",0.683123808399422,0,9,"Anger",0
"predestination",0.683059451701157,0,4,"Anger",0
"ribald",0.682770189122436,0,8,"Anger",0
"grandstanding",0.682712535198794,0,192,"Anger",0
"boastful",0.682522657426245,0,44,"Anger",0
"mcbrearty",0.682401187552357,0,3,"Anger",1
"coddling",0.682281524110884,0,6,"Anger",0
"racist",0.681880929604646,0,1574,"Anger",0
"impostors",0.681872538264008,0,2,"Anger",0
"immolated",0.681816469417185,0,1,"Anger",0
"associating",0.681754367933257,0,243,"Anger",0
"whines",0.681699386884207,0,8,"Anger",0
"chucking",0.681685249899393,0,90,"Anger",0
"unreservedly",0.681540750737384,0,772,"Anger",0
"faithlessness",0.681178712152204,0,1,"Anger",0
"butting",0.681100998127951,0,5,"Anger",0
"repented",0.680610769498615,0,91,"Anger",0
"insincere",0.680574422660497,0,48,"Anger",0
"probus",0.680573078547545,0,5,"Anger",1
"disavowed",0.68043775872662,0,32,"Anger",0
"duetting",0.680370375265577,0,1,"Anger",0
"quid",0.68034557746189,0,585,"Anger",1
"cackled",0.680302540476136,0,1,"Anger",0
"outbidding",0.6802662349767,0,20,"Anger",0
"shamelessly",0.68015961118044,0,131,"Anger",0
"daub",0.680062992192352,0,10,"Anger",0
"disown",0.680006524869847,0,190,"Anger",0
"perjuring",0.679893608496856,0,2,"Anger",0
"creedon",0.679769122234145,0,22,"Anger",1
"repentant",0.679705592769247,0,18,"Anger",0
"bragged",0.679291127584554,0,23,"Anger",0
"quarrelled",0.679196035094197,0,19,"Anger",0
"shahada",0.679189882483394,0,2,"Anger",1
"ivermectin",0.679033621209798,0,4,"Anger",1
"gisella",0.678793645127591,0,1,"Anger",1
"subterfuge",0.678777844010086,0,134,"Anger",0
"incenses",0.678767089504317,0,4,"Anger",0
"tizer",0.678459167619287,0,6,"Anger",1
"impudence",0.6783832942682,0,21,"Anger",0
